Date : 2023-05-20 10:33:20
Directory : c:\Users\oguzk\Documents\GitHub\biren
Total : 81 files,  3636 codes, 200 comments, 421 blanks, all 4257 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         52 |      2,428 |         88 |        338 |      2,854 |
| JSON       |          7 |        857 |          0 |          3 |        860 |
| XML        |          9 |        124 |         48 |         11 |        183 |
| Groovy     |          3 |         94 |          5 |         23 |        122 |
| YAML       |          2 |         54 |         41 |         22 |        117 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         81 |      3,636 |        200 |        421 |      4,257 |
| . (Files)                                                                                            |          3 |         64 |         41 |         29 |        134 |
| android                                                                                              |         13 |        204 |         51 |         34 |        289 |
| android (Files)                                                                                      |          3 |         40 |          0 |         10 |         50 |
| android\app                                                                                          |          9 |        159 |         51 |         23 |        233 |
| android\app (Files)                                                                                  |          2 |         96 |          5 |         14 |        115 |
| android\app\src                                                                                      |          7 |         63 |         46 |          9 |        118 |
| android\app\src\debug                                                                                |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                 |          5 |         55 |         38 |          7 |        100 |
| android\app\src\main (Files)                                                                         |          1 |         29 |          6 |          1 |         36 |
| android\app\src\main\res                                                                             |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                              |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                               |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                               |          3 |        638 |          0 |          0 |        638 |
| assets\jsons                                                                                         |          3 |        638 |          0 |          0 |        638 |
| assets\jsons\lang                                                                                    |          1 |         37 |          0 |          0 |         37 |
| assets\jsons\study                                                                                   |          2 |        601 |          0 |          0 |        601 |
| ios                                                                                                  |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                   |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                      |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                  |         51 |      2,414 |         78 |        331 |      2,823 |
| lib (Files)                                                                                          |          1 |         78 |          0 |          6 |         84 |
| lib\features                                                                                         |         25 |      1,625 |         54 |        217 |      1,896 |
| lib\features\admin                                                                                   |         12 |        931 |         22 |        109 |      1,062 |
| lib\features\admin\service                                                                           |          1 |         32 |          0 |          5 |         37 |
