"filename", "language", "Dart", "HTML", "YAML", "XML", "JSON", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, -2, 0, -2
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 5, 0, -7, -1, -3
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 5, 0, -7, -1, -3
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 12, 0, 7, 1, 20
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 12, 0, 7, 1, 20
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\service\announcement_service.dart", "Dart", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\add_announcement_view.dart", "Dart", -123, 0, 0, 0, 0, 0, -11, -134
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\admin_home_view.dart", "Dart", 1, 0, 0, 0, 0, -1, 0, 0
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\add_announcement_view.dart", "Dart", 146, 0, 0, 0, 0, 0, 11, 157
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\announcement_history_view.dart", "Dart", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\announcements_view.dart", "Dart", 43, 0, 0, 0, 0, 0, 6, 49
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\class\class_detail_view.dart", "Dart", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\class\classes_view.dart", "Dart", 238, 0, 0, 0, 0, 0, 16, 254
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\create_homework_view.dart", "Dart", -161, 0, 0, 0, 0, -1, -12, -174
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\create_homework_view_2.dart", "Dart", -169, 0, 0, 0, 0, -1, -16, -186
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\enter_exams_view.dart", "Dart", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\exams_view.dart", "Dart", 61, 0, 0, 0, 0, 0, 6, 67
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\all_homework_view.dart", "Dart", 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\create_homework_view.dart", "Dart", 187, 0, 0, 0, 0, 144, 19, 350
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\homework_search_view.dart", "Dart", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\homework_view.dart", "Dart", 61, 0, 0, 0, 0, 0, 6, 67
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\incoming_homeworks_view.dart", "Dart", 48, 0, 0, 0, 0, 0, 7, 55
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\all_homeworks_operation_mixin.dart", "Dart", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\create_homework_operation_mixin.dart", "Dart", 81, 0, 0, 0, 0, 27, 19, 127
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\incoming_homeworks_operation_mixin.dart", "Dart", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\login_requiest_view.dart", "Dart", -119, 0, 0, 0, 0, 0, -6, -125
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\student_edit_view.dart", "Dart", -135, 0, 0, 0, 0, -1, -14, -150
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\accepted_students_view.dart", "Dart", 57, 0, 0, 0, 0, 0, 6, 63
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\login_accept_view.dart", "Dart", 143, 0, 0, 0, 0, 0, 9, 152
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\login_requiest_view.dart", "Dart", 119, 0, 0, 0, 0, 0, 6, 125
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\accepted_students_operation_mixin.dart", "Dart", 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\login_accept_operation_mixin.dart", "Dart", 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\login_requiest_operation_mixin.dart", "Dart", 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\student_edit_operation_mixin.dart", "Dart", 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\student_edit_view.dart", "Dart", 139, 0, 0, 0, 0, 1, 13, 153
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\students_view.dart", "Dart", 43, 0, 0, 0, 0, 0, 6, 49
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students_view.dart", "Dart", -73, 0, 0, 0, 0, 0, -5, -78
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\view\login_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\service\auth_service.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\home_view.dart", "Dart", 74, 0, 0, 0, 0, 0, 3, 77
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\homeworks\check_homework_view.dart", "Dart", 144, 0, 0, 0, 0, 1, 15, 160
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\homeworks\homeworks_view.dart", "Dart", 49, 0, 0, 0, 0, 0, 5, 54
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\homeworks\pushed_homeworks_view.dart", "Dart", 45, 0, 0, 0, 0, 0, 4, 49
"c:\Users\oguzk\Documents\GitHub\biren\lib\gen\assets.gen.dart", "Dart", 100, 0, 0, 0, 0, 21, 31, 152
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\admin_feature_types.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\firebase_collection_enum.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\grade_enums.dart", "Dart", -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\homework_type_enum.dart", "Dart", -6, 0, 0, 0, 0, 0, -1, -7
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\gen\assets.gen.dart", "Dart", 12, 0, 0, 0, 0, 5, 6, 23
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\light_theme_colors.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\theme.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\validation\regex_validations.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\homework_model.dart", "Dart", 5, 0, 0, 0, 0, 1, 2, 8
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\user_model.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\admin\admin_select_feature.dart", "Dart", -8, 0, 0, 0, 0, 0, 0, -8
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\done_action_button.dart", "Dart", 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\main_button.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\next_action_button.dart", "Dart", 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\admin_features_select_widget.dart", "Dart", 46, 0, 0, 0, 0, 0, 4, 50
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\all_homework_card_large.dart", "Dart", 151, 0, 0, 0, 0, 0, 13, 164
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\announcement_card.dart", "Dart", -59, 0, 0, 0, 0, 0, -3, -62
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\coming_homeworks_card.dart", "Dart", 249, 0, 0, 0, 0, 0, 12, 261
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\homework_card.dart", "Dart", -18, 0, 0, 0, 0, 0, -3, -21
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\homework_card_large.dart", "Dart", 205, 0, 0, 0, 0, 0, 11, 216
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\homework_card_mini.dart", "Dart", 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\pushed_homework_card_large.dart", "Dart", 156, 0, 0, 0, 0, 0, 12, 168
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\study_card.dart", "Dart", -20, 0, 0, 0, 0, 0, -3, -23
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\drawer\homework_drawer.dart", "Dart", 95, 0, 0, 0, 0, 0, 5, 100
"c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\text_field\main_text_field.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 12
