"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\admin_home_view.dart", "Dart", 0, -8, 0, -1, -9
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\add_announcement_view.dart", "Dart", 0, -146, 0, -11, -157
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\announcements_view.dart", "Dart", 0, -43, 0, -6, -49
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\announcements_view_admin.dart", "Dart", 0, 43, 0, 6, 49
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\create_announcement_view.dart", "Dart", 0, 129, 0, 9, 138
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\mixin\create_announcement_operation_mixin.dart", "Dart", 0, 16, 0, 5, 21
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\enter_exams_view.dart", "Dart", 0, 251, 3, 18, 272
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\exams_results_view.dart", "Dart", 0, 14, 0, 4, 18
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\exams_view.dart", "Dart", 0, -7, 0, 0, -7
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\mixin\enter_exams_operation_mixin.dart", "Dart", 0, 10, 0, 3, 13
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\search_exam_result_view.dart", "Dart", 0, 14, 0, 4, 18
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\admin_all_homework_view.dart", "Dart", 0, 37, 0, 5, 42
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\all_homework_view.dart", "Dart", 0, -37, 0, -5, -42
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\admin_all_homeworks_operation_mixin.dart", "Dart", 0, 8, 0, 2, 10
