Date : 2023-06-25 14:30:36
Directory : c:\Users\oguzk\Documents\GitHub\biren
Total : 62 files,  479 codes, -51 comments, -13 blanks, all 415 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         61 |        473 |        -40 |        -12 |        421 |
| YAML     |          1 |          6 |        -11 |         -1 |         -6 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         62 |        479 |        -51 |        -13 |        415 |
| . (Files)                                                                                                                 |          1 |          6 |        -11 |         -1 |         -6 |
| lib                                                                                                                       |         61 |        473 |        -40 |        -12 |        421 |
| lib (Files)                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| lib\features                                                                                                              |         44 |        514 |        -39 |         -1 |        474 |
| lib\features\admin                                                                                                        |         21 |        204 |        -15 |         -2 |        187 |
| lib\features\admin\view                                                                                                   |         17 |        276 |          3 |         31 |        310 |
| lib\features\admin\view (Files)                                                                                           |          1 |         -8 |          0 |         -1 |         -9 |
| lib\features\admin\view\announcement                                                                                      |          5 |         -1 |          0 |          3 |          2 |
| lib\features\admin\view\announcement (Files)                                                                              |          4 |        -17 |          0 |         -2 |        -19 |
| lib\features\admin\view\announcement\mixin                                                                                |          1 |         16 |          0 |          5 |         21 |
| lib\features\admin\view\exams                                                                                             |          5 |        282 |          3 |         29 |        314 |
| lib\features\admin\view\exams (Files)                                                                                     |          4 |        272 |          3 |         26 |        301 |
| lib\features\admin\view\exams\mixin                                                                                       |          1 |         10 |          0 |          3 |         13 |
| lib\features\admin\view\homework                                                                                          |          5 |          2 |          0 |          0 |          2 |
| lib\features\admin\view\homework (Files)                                                                                  |          2 |          0 |          0 |          0 |          0 |
| lib\features\admin\view\homework\mixin                                                                                    |          3 |          2 |          0 |          0 |          2 |
| lib\features\admin\view\students                                                                                          |          1 |          1 |          0 |          0 |          1 |
| lib\features\admin\view\students\mixin                                                                                    |          1 |          1 |          0 |          0 |          1 |
| lib\features\admin\viewmodel                                                                                              |          4 |        -72 |        -18 |        -33 |       -123 |
| lib\features\auth                                                                                                         |          8 |        -67 |        -24 |        -36 |       -127 |
| lib\features\auth\login                                                                                                   |          4 |        -39 |        -11 |        -18 |        -68 |
| lib\features\auth\login\mixin                                                                                             |          1 |         27 |          0 |          5 |         32 |
| lib\features\auth\login\view                                                                                              |          1 |         -8 |          1 |         -6 |        -13 |
| lib\features\auth\login\viewmodel                                                                                         |          2 |        -58 |        -12 |        -17 |        -87 |
| lib\features\auth\register                                                                                                |          4 |        -28 |        -13 |        -18 |        -59 |
| lib\features\auth\register\mixin                                                                                          |          1 |         18 |          0 |          4 |         22 |
| lib\features\auth\register\view                                                                                           |          1 |         -9 |         -1 |         -7 |        -17 |
| lib\features\auth\register\viewmodel                                                                                      |          2 |        -37 |        -12 |        -15 |        -64 |
| lib\features\home                                                                                                         |         15 |        377 |          0 |         37 |        414 |
| lib\features\home\mixin                                                                                                   |          4 |         87 |          0 |         14 |        101 |
| lib\features\home\view                                                                                                    |          9 |        302 |          5 |         33 |        340 |
| lib\features\home\view (Files)                                                                                            |          1 |       -246 |          0 |        -16 |       -262 |
| lib\features\home\view\announcement                                                                                       |          1 |         86 |          0 |          7 |         93 |
| lib\features\home\view\homeview                                                                                           |          3 |        335 |          5 |         23 |        363 |
| lib\features\home\view\homeview (Files)                                                                                   |          1 |        137 |          0 |          8 |        145 |
| lib\features\home\view\homeview\widgets                                                                                   |          2 |        198 |          5 |         15 |        218 |
| lib\features\home\view\homeworks                                                                                          |          4 |        127 |          0 |         19 |        146 |
| lib\features\home\viewmodel                                                                                               |          2 |        -12 |         -5 |        -10 |        -27 |
| lib\gen                                                                                                                   |          1 |          1 |          1 |          1 |          3 |
| lib\product                                                                                                               |         15 |        -43 |         -2 |        -12 |        -57 |
| lib\product\base                                                                                                          |          2 |        -41 |         -1 |        -11 |        -53 |
| lib\product\base\model                                                                                                    |          1 |         -6 |          0 |         -3 |         -9 |
