"filename", "language", "YAML", "HTML", "JSON", "Dart", "Markdown", "Swift", "C++", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\biren\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\oguzk\Documents\GitHub\biren\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\oguzk\Documents\GitHub\biren\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 5, 14, 76
"c:\Users\oguzk\Documents\GitHub\biren\android\app\google-services.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 1, 34
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 1, 20
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 9, 1, 23
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 1, 20
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 9, 1, 23
"c:\Users\oguzk\Documents\GitHub\biren\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\oguzk\Documents\GitHub\biren\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 5, 34
"c:\Users\oguzk\Documents\GitHub\biren\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\oguzk\Documents\GitHub\biren\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\oguzk\Documents\GitHub\biren\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\oguzk\Documents\GitHub\biren\assets\jsons\lang\tr-TR.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\Users\oguzk\Documents\GitHub\biren\assets\jsons\study\lessons.json", "JSON", 0, 0, 589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 589
"c:\Users\oguzk\Documents\GitHub\biren\assets\jsons\study\subjects.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\oguzk\Documents\GitHub\biren\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 1, 45
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\service\announcement_service.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\admin_home_view.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\announcement_history_view.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\announcements_view_admin.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\create_announcement_view.dart", "Dart", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 9, 138
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\announcement\mixin\create_announcement_operation_mixin.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\class\class_detail_view.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\class\classes_view.dart", "Dart", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 16, 254
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\enter_exams_view.dart", "Dart", 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 3, 21, 283
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\exams_results_view.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\exams_view.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 60
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\mixin\enter_exams_operation_mixin.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\exams\search_exam_result_view.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\admin_all_homework_view.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\create_homework_view.dart", "Dart", 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 144, 19, 350
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\homework_search_view.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\homework_view.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\incoming_homeworks_view.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\admin_all_homeworks_operation_mixin.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\create_homework_operation_mixin.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 27, 19, 127
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\homework\mixin\incoming_homeworks_operation_mixin.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\accepted_students_view.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 6, 63
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\login_accept_view.dart", "Dart", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 9, 152
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\login_requiest_view.dart", "Dart", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 6, 125
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\accepted_students_operation_mixin.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\login_accept_operation_mixin.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\login_requiest_operation_mixin.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\mixin\student_edit_operation_mixin.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\student_edit_view.dart", "Dart", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 1, 13, 153
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students\students_view.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\mixin\login_operation_mixin.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\view\login_view.dart", "Dart", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 2, 10, 124
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\mixin\register_operation_mixin.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\view\register_view.dart", "Dart", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 11, 138
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\service\auth_service.dart", "Dart", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 1, 10, 107
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\mixin\all_homeworks_operation_mixin.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\mixin\didnt_made_homeworks_operation_mixin.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
